Date,Open,High,Low,Close,Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,fft3,fft6,fft9,ARIMA
2009-12-31,143.8379279600523,146.27980374368167,143.52839514915215,145.17063903808594,6401800,,,145.17063903808594,145.17063903808594,0.0,,,,145.17063903808594,,166.87863456855814,167.46346132872674,162.1511190038646,166.2595167040027
2010-01-04,146.21109946532226,149.8223088774537,145.74679342794062,148.8163299560547,9135000,,,147.06359393780048,147.145388285319,0.08179434751852455,,,,147.90490722656247,0.02511314231393791,166.70394056817617,167.12835444313146,161.54769346895452,166.55041744840864
2010-01-05,148.7475167650466,151.55049993013066,148.377803801176,151.44732666015625,11659400,,,148.6386265423334,148.8244358265372,0.18580928420379905,,,,150.3573514498197,0.017679489239376345,166.52918652082244,166.7933950377049,160.9461425640431,166.79309449708572
2010-01-06,150.79382411183522,150.79382411183522,149.40091983031473,149.83082580566406,7381100,,,148.97191335775403,149.14211381276445,0.17020045501041636,,,,150.00194664001464,-0.010673683650551102,166.35437314950624,166.4586121459048,160.34657183879403,167.38440615183944
2010-01-07,149.88243968914782,153.69140069278185,149.56430031597466,152.76280212402344,8727400,,,149.85103609854767,150.12584188667802,0.27480578813035095,,,,151.85012262517756,0.01956857877939111,166.17950118005655,166.1240347558573,159.7490862653611,167.58137118558392
2010-01-08,151.6106643928489,152.55644980124939,149.56430746099136,149.87384033203125,7268100,,,149.85560360463438,150.06459225114634,0.2089886465119548,,,,150.53079131409362,-0.018911421837148112,166.00457134118517,165.7896918059129,159.15379021110442,167.66986866195057
2010-01-11,150.51875810198428,150.51875810198428,146.6152155408613,147.50941467285156,7704900,149.3444540841239,,149.43834606543783,149.49441331443404,0.0560672489962144,,,,148.51561878759276,-0.01577610645020855,165.8295843645497,165.45561218020813,158.56078741148747,167.80874934375242
2010-01-12,146.1766635611071,146.5807763340727,143.6144269458915,144.29368591308594,10360100,149.21917506626673,,148.60941383882874,148.40910166513612,-0.20031217369262322,,,,145.70056781303592,-0.02180015944675473,165.65454098481595,165.12182470423411,157.97018094316314,138.39641037108967
2010-01-13,144.4569965436794,145.88428748541008,142.8319525330572,145.368408203125,11269500,148.72661481584822,,148.12902565402482,147.8075442710267,-0.32148138299811535,,,,145.4791168222194,0.007448158824402196,165.4794419397202,164.7883581404121,157.38207319725768,138.54195303336266
2010-01-14,144.44847530716314,146.78716595695,143.76922932094422,144.9041748046875,10521400,147.79187883649553,,147.68402762328307,147.2573568855337,-0.4266707377493617,,,,145.09581565262584,-0.0031934957820327625,165.30428797013087,164.45524118367683,156.7965658528612,138.05535186182036
2010-01-15,144.10452638782428,144.2764861996136,141.50788993481964,142.04957580566406,10896300,146.6802716936384,,146.95323743754102,146.3044585163885,-0.6487789211525126,,,,143.06497762384453,-0.019699908597326954,165.12907982010992,164.12250245706824,156.21375985073212,138.30943186827875
2010-01-19,141.8775737493446,143.93252390966163,140.92318190218623,143.46823120117188,7705300,145.35247584751673,,146.52504951021058,145.800186610679,-0.7248628995315869,,,,143.33381384792554,0.00998704422355079,164.95381823697394,163.79017050733165,155.6337553672249,137.90379149586548
2010-01-20,142.55685034114464,144.60319423982037,141.28433209293652,144.2678680419922,8893900,144.55162266322546,,146.26062110834465,145.5341178951647,-0.7265032131799387,,,,143.95651703454527,0.005573616082985344,164.7785039713548,163.45827380052808,155.05665178844865,137.8142447512718
2010-01-21,145.55762682903216,147.02791171888694,134.79278566281238,138.31800842285156,51738300,143.23856462751115,,145.36857118058467,144.30544484947458,-1.0631263311100838,,,,140.19751050750125,-0.04124175188759838,164.60313777725978,163.12684071765332,154.48254768466433,137.8616020759328
2010-01-22,136.44359974985966,137.35499858025537,130.90640709761428,132.51425170898438,30175600,141.55578831263952,,143.97804868583535,142.33021814026029,-1.6478305455750615,,,,135.07533761818362,-0.04195951619057836,164.4277204121314,162.79589955026879,153.91154078492872,131.74694763619166
